Total Population,Median Household Income,African American Pop.,Hispanic Population,Food Stamps,Pop Below Poverty Line,No Car Available,state,county,tract
3343.0,73409.0,829.0,494.0,1092.0,81.0,5.0,27,053,000101
4896.0,59750.0,1660.0,294.0,1759.0,39.0,157.0,27,053,000102
3199.0,83333.0,504.0,117.0,1306.0,242.0,29.0,27,053,000300
4636.0,75727.0,787.0,362.0,2000.0,102.0,101.0,27,053,000601
3233.0,93462.0,181.0,295.0,1402.0,0.0,19.0,27,053,000603
2096.0,73583.0,350.0,155.0,897.0,68.0,62.0,27,053,001100
2298.0,63158.0,630.0,95.0,964.0,144.0,121.0,27,053,001700
1476.0,43917.0,594.0,45.0,351.0,302.0,31.0,27,053,002200
2393.0,70870.0,377.0,197.0,1316.0,79.0,57.0,27,053,002400
2924.0,56875.0,1389.0,728.0,907.0,517.0,83.0,27,053,002700
2125.0,66184.0,1225.0,194.0,706.0,225.0,98.0,27,053,003200
3070.0,41563.0,2238.0,251.0,760.0,418.0,75.0,27,053,003300
2703.0,39450.0,121.0,427.0,1375.0,0.0,621.0,27,053,003801
3525.0,40699.0,147.0,288.0,831.0,0.0,471.0,27,053,003802
2945.0,26164.0,1007.0,106.0,1554.0,133.0,211.0,27,053,005901
3697.0,38165.0,1706.0,832.0,1134.0,429.0,208.0,27,053,005902
3950.0,44665.0,1152.0,480.0,2157.0,304.0,480.0,27,053,006800
5289.0,73658.0,1240.0,550.0,3015.0,0.0,294.0,27,053,007700
1809.0,48462.0,637.0,552.0,638.0,94.0,88.0,27,053,007801
3676.0,69110.0,407.0,297.0,1789.0,6.0,266.0,27,053,008100
3690.0,39063.0,859.0,973.0,1965.0,45.0,268.0,27,053,008200
2002.0,51014.0,614.0,827.0,564.0,271.0,23.0,27,053,008300
2442.0,75982.0,955.0,456.0,726.0,54.0,122.0,27,053,008400
4035.0,54119.0,343.0,1240.0,1707.0,74.0,190.0,27,053,008500
3040.0,79412.0,438.0,795.0,1034.0,0.0,35.0,27,053,009500
3318.0,68750.0,526.0,655.0,1330.0,289.0,91.0,27,053,009600
3455.0,135167.0,111.0,87.0,1252.0,0.0,5.0,27,053,010600
2539.0,141563.0,210.0,93.0,941.0,24.0,4.0,27,053,010700
3712.0,99000.0,741.0,372.0,1538.0,8.0,34.0,27,053,011000
4058.0,143056.0,72.0,124.0,1624.0,14.0,36.0,27,053,011703
3307.0,148313.0,224.0,149.0,1271.0,0.0,8.0,27,053,011704
4658.0,111029.0,188.0,281.0,1952.0,0.0,0.0,27,053,011800
3921.0,85341.0,252.0,151.0,1900.0,0.0,22.0,27,053,011998
5975.0,123881.0,299.0,257.0,2503.0,0.0,0.0,27,053,012001
6104.0,88088.0,1524.0,398.0,2242.0,408.0,141.0,27,053,012003
2791.0,65859.0,617.0,265.0,1151.0,296.0,82.0,27,053,012101
3237.0,83950.0,281.0,181.0,1450.0,37.0,26.0,27,053,012102
3159.0,132250.0,149.0,48.0,1202.0,7.0,30.0,27,053,020101
2394.0,83583.0,29.0,22.0,1074.0,0.0,0.0,27,053,020102
2517.0,34871.0,1138.0,23.0,815.0,312.0,41.0,27,053,020201
5662.0,62985.0,2799.0,925.0,1931.0,452.0,70.0,27,053,020202
2800.0,79732.0,1030.0,92.0,821.0,51.0,62.0,27,053,020301
2708.0,52139.0,1473.0,9.0,977.0,101.0,166.0,27,053,020302
4203.0,84596.0,855.0,462.0,1279.0,72.0,0.0,27,053,020303
4157.0,62694.0,774.0,801.0,1177.0,333.0,114.0,27,053,020304
5594.0,57898.0,1794.0,927.0,2108.0,222.0,58.0,27,053,020400
3591.0,73771.0,992.0,813.0,1196.0,66.0,20.0,27,053,020500
2066.0,70577.0,719.0,268.0,744.0,0.0,0.0,27,053,020600
4397.0,69750.0,661.0,293.0,1737.0,24.0,8.0,27,053,020700
2019.0,63462.0,319.0,72.0,924.0,111.0,11.0,27,053,020801
3018.0,83103.0,618.0,112.0,1261.0,44.0,67.0,27,053,020804
2506.0,103438.0,241.0,408.0,913.0,6.0,15.0,27,053,020902
2826.0,97591.0,103.0,152.0,1127.0,44.0,0.0,27,053,020903
6340.0,72652.0,1757.0,214.0,2506.0,0.0,0.0,27,053,021001
1864.0,84511.0,451.0,68.0,771.0,19.0,23.0,27,053,021002
1823.0,67500.0,238.0,114.0,856.0,67.0,56.0,27,053,021100
4560.0,93889.0,641.0,592.0,1886.0,0.0,28.0,27,053,021200
